,Player2,Player1,Unnamed: 0,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Normalized_FSP.1,Unary_FSP.1,Normalized_FSW.1,Unary_FSW.1,Normalized_SSP.1,Unary_SSP.1,Normalized_SSW.1,Unary_SSW.1,Normalized_FSP.2,Unary_FSP.2,Normalized_SSP.2,Unary_SSP.2,Unary_SSW.2,FSP_diff,FSW_diff,"GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP_diff","GROUPBY_['Player1', 'Player2', 'Round']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSW_diff","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSW.1","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSW.2","GROUPBY_['Player1', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_sum_SSW.1","GROUPBY_['Player1', 'Round']_mean_FSP.1",Player1_vs_Player2_FSW_diff,Player1_vs_Player2_FSP_diff
258,Denis Kudla,Jan Hajek,258,1,1,70,58,30,18,68,48,32,17,0.6666666666666666,0.6666666666666666,0.5188679245283019,0.5188679245283019,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34615384615384615,0.7311827956989247,0.7311827956989247,0.26881720430107525,0.26881720430107525,0.2982456140350877,0.029411764705882353,10,0.029411764705882353,1.0,10.0,18.0,30.0,1.0,17.0,28.5,18,71.5,10,2
259,Pablo Cuevas,Adrian Mannarino,259,1,0,63,71,37,38,59,67,41,27,0.5208333333333334,0.5208333333333334,0.6415094339622641,0.6415094339622641,0.4791666666666667,0.4791666666666667,0.7254901960784313,0.7307692307692307,0.6344086021505376,0.6344086021505376,0.3655913978494624,0.3655913978494624,0.47368421052631576,0.06779661016949153,4,0.06779661016949153,0.0,4.0,38.0,37.0,0.0,27.0,41.0,38,59.0,4,4
260,Lleyton Hewitt,Gilles Simon,260,1,1,59,42,41,25,49,40,51,29,0.4375,0.4375,0.36792452830188677,0.36792452830188677,0.5625,0.5625,0.47058823529411764,0.4807692307692308,0.5268817204301075,0.5268817204301075,0.4731182795698925,0.4731182795698925,0.5087719298245614,0.20408163265306123,2,0.20408163265306123,1.0,2.0,25.0,41.0,1.0,29.0,41.0,25,59.0,2,10
261,Marin Cilic,Philipp Petzschner,261,1,0,56,27,44,13,50,26,50,20,0.375,0.375,0.22641509433962265,0.22641509433962265,0.625,0.625,0.23529411764705882,0.25,0.5376344086021505,0.5376344086021505,0.46236559139784944,0.46236559139784944,0.3508771929824561,0.12,1,0.12,0.0,1.0,13.0,44.0,0.0,20.0,44.0,13,56.0,1,6
262,Nick Kyrgios,Radek Stepanek,262,1,0,63,62,37,29,56,64,44,35,0.5208333333333334,0.5208333333333334,0.5566037735849056,0.5566037735849056,0.4791666666666667,0.4791666666666667,0.5490196078431373,0.5576923076923077,0.6021505376344086,0.6021505376344086,0.3978494623655914,0.3978494623655914,0.6140350877192983,0.125,-2,0.125,0.0,-2.0,29.0,37.0,0.0,35.0,43.0,29,57.0,-2,7
263,James Blake,Viktor Troicki,263,1,1,48,29,52,20,47,22,53,15,0.20833333333333334,0.20833333333333334,0.24528301886792453,0.24528301886792453,0.7916666666666666,0.7916666666666666,0.37254901960784315,0.38461538461538464,0.5053763440860215,0.5053763440860215,0.4946236559139785,0.4946236559139785,0.2631578947368421,0.02127659574468085,7,0.02127659574468085,1.0,7.0,20.0,52.0,1.0,15.0,52.0,20,48.0,7,1
264,Daniel Gimeno-Traver,Juan Monaco,264,1,0,78,85,22,22,52,67,48,47,0.8333333333333334,0.8333333333333334,0.7735849056603774,0.7735849056603774,0.16666666666666666,0.16666666666666666,0.4117647058823529,0.4230769230769231,0.5591397849462365,0.5591397849462365,0.44086021505376344,0.44086021505376344,0.8245614035087719,0.5,18,0.5,0.0,18.0,22.0,22.0,0.0,47.0,23.0,22,77.0,18,26
265,Jeremy Chardy,Benjamin Becker,265,1,0,66,48,34,13,66,44,34,17,0.5833333333333334,0.5833333333333334,0.42452830188679247,0.42452830188679247,0.4166666666666667,0.4166666666666667,0.23529411764705882,0.25,0.7096774193548387,0.7096774193548387,0.2903225806451613,0.2903225806451613,0.2982456140350877,0.0,4,0.0,0.0,4.0,13.0,34.0,0.0,17.0,41.0,13,59.0,4,0
266,Gilles Muller,Roberto Bautista Agut,266,1,1,83,51,17,6,55,36,45,18,0.9375,0.9375,0.4528301886792453,0.4528301886792453,0.0625,0.0625,0.09803921568627451,0.11538461538461539,0.5913978494623656,0.5913978494623656,0.40860215053763443,0.40860215053763443,0.3157894736842105,0.509090909090909,15,0.509090909090909,1.0,15.0,6.0,17.0,1.0,18.0,24.5,6,75.5,15,28
267,Paul-Henri Mathieu,Jarkko Nieminen,267,1,1,69,84,31,29,54,58,46,36,0.6458333333333334,0.6458333333333334,0.7641509433962265,0.7641509433962265,0.3541666666666667,0.3541666666666667,0.5490196078431373,0.5576923076923077,0.5806451612903226,0.5806451612903226,0.41935483870967744,0.41935483870967744,0.631578947368421,0.2777777777777778,26,0.2777777777777778,1.0,26.0,29.0,31.0,1.0,36.0,33.5,29,66.5,26,15
268,Aljaz Bedene,Jo-Wilfried Tsonga,268,1,1,50,32,50,23,62,26,38,12,0.25,0.25,0.27358490566037735,0.27358490566037735,0.75,0.75,0.43137254901960786,0.4423076923076923,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.21052631578947367,-0.1935483870967742,6,-0.1935483870967742,1.0,6.0,23.0,50.0,1.0,12.0,44.0,23,56.0,6,-12
269,David Ferrer,Marinko Matosevic,269,1,0,59,29,41,10,55,33,45,18,0.4375,0.4375,0.24528301886792453,0.24528301886792453,0.5625,0.5625,0.17647058823529413,0.19230769230769232,0.5913978494623656,0.5913978494623656,0.40860215053763443,0.40860215053763443,0.3157894736842105,0.07272727272727272,-4,0.07272727272727272,0.0,-4.0,10.0,41.0,0.0,18.0,40.0,10,60.0,-4,4
270,Albert Montanes,Steve Johnson,270,1,0,55,53,45,32,65,59,35,21,0.3541666666666667,0.3541666666666667,0.4716981132075472,0.4716981132075472,0.6458333333333334,0.6458333333333334,0.6078431372549019,0.6153846153846154,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.3684210526315789,-0.15384615384615385,-6,-0.15384615384615385,0.0,-6.0,32.0,45.0,0.0,21.0,46.0,32,54.0,-6,-10
271,Go Soeda,Joao Sousa,271,1,1,70,40,30,14,58,24,42,10,0.6666666666666666,0.6666666666666666,0.3490566037735849,0.3490566037735849,0.3333333333333333,0.3333333333333333,0.2549019607843137,0.2692307692307692,0.6236559139784946,0.6236559139784946,0.3763440860215054,0.3763440860215054,0.17543859649122806,0.20689655172413793,16,0.20689655172413793,1.0,16.0,14.0,30.0,1.0,10.0,36.0,14,64.0,16,12
272,Feliciano Lopez,Marcel Granollers,272,1,0,70,55,30,18,58,52,42,33,0.6666666666666666,0.6666666666666666,0.49056603773584906,0.49056603773584906,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34615384615384615,0.6236559139784946,0.6236559139784946,0.3763440860215054,0.3763440860215054,0.5789473684210527,0.20689655172413793,3,0.20689655172413793,0.0,3.0,18.0,30.0,0.0,33.0,34.0,18,66.0,3,12
273,Kevin Anderson,Illya Marchenko,273,1,0,60,39,40,25,64,50,36,15,0.4583333333333333,0.4583333333333333,0.33962264150943394,0.33962264150943394,0.5416666666666666,0.5416666666666666,0.47058823529411764,0.4807692307692308,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.2631578947368421,-0.0625,-11,-0.0625,0.0,-11.0,25.0,40.0,0.0,15.0,40.0,25,60.0,-11,-4
274,Evgeny Donskoy,Jan-Lennard Struff,274,1,0,48,47,52,32,59,59,41,25,0.20833333333333334,0.20833333333333334,0.41509433962264153,0.41509433962264153,0.7916666666666666,0.7916666666666666,0.6078431372549019,0.6153846153846154,0.6344086021505376,0.6344086021505376,0.3655913978494624,0.3655913978494624,0.43859649122807015,-0.1864406779661017,-12,-0.1864406779661017,0.0,-12.0,32.0,52.0,0.0,25.0,48.5,32,51.5,-12,-11
275,Michael Llodra,Steve Darcis,275,1,0,71,49,29,23,58,56,42,16,0.6875,0.6875,0.4339622641509434,0.4339622641509434,0.3125,0.3125,0.43137254901960786,0.4423076923076923,0.6236559139784946,0.6236559139784946,0.3763440860215054,0.3763440860215054,0.2807017543859649,0.22413793103448276,-7,0.22413793103448276,0.0,-7.0,23.0,29.0,0.0,16.0,29.0,23,71.0,-7,13
276,Xavier Malisse,Milos Raonic,276,1,1,73,55,27,14,64,42,36,18,0.7291666666666666,0.7291666666666666,0.49056603773584906,0.49056603773584906,0.2708333333333333,0.2708333333333333,0.2549019607843137,0.2692307692307692,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.3157894736842105,0.140625,13,0.140625,1.0,13.0,14.0,27.0,1.0,18.0,31.5,14,68.5,13,9
277,Nicolas Almagro,Andreas Haider-Maurer,277,1,0,65,50,35,20,53,50,47,28,0.5625,0.5625,0.44339622641509435,0.44339622641509435,0.4375,0.4375,0.37254901960784315,0.38461538461538464,0.5698924731182796,0.5698924731182796,0.43010752688172044,0.43010752688172044,0.49122807017543857,0.22641509433962265,0,0.22641509433962265,0.0,0.0,20.0,35.0,0.0,28.0,37.5,20,62.5,0,12
278,Edouard Roger-Vasselin,Martin Alund,278,1,0,57,31,43,17,63,45,37,22,0.3958333333333333,0.3958333333333333,0.2641509433962264,0.2641509433962264,0.6041666666666666,0.6041666666666666,0.3137254901960784,0.3269230769230769,0.6774193548387096,0.6774193548387096,0.3225806451612903,0.3225806451612903,0.38596491228070173,-0.09523809523809523,-14,-0.09523809523809523,0.0,-14.0,17.0,43.0,0.0,22.0,43.0,17,57.0,-14,-6
279,James Duckworth,Blaz Kavcic,279,1,1,63,33,37,17,46,19,54,11,0.5208333333333334,0.5208333333333334,0.2830188679245283,0.2830188679245283,0.4791666666666667,0.4791666666666667,0.3137254901960784,0.3269230769230769,0.4946236559139785,0.4946236559139785,0.5053763440860215,0.5053763440860215,0.19298245614035087,0.3695652173913043,14,0.3695652173913043,1.0,14.0,17.0,37.0,1.0,11.0,37.0,17,63.0,14,17
280,Leonardo Mayer,Andreas Seppi,280,1,1,67,73,33,32,64,68,36,28,0.6041666666666666,0.6041666666666666,0.660377358490566,0.660377358490566,0.3958333333333333,0.3958333333333333,0.6078431372549019,0.6153846153846154,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.49122807017543857,0.046875,5,0.046875,1.0,5.0,32.0,33.0,1.0,28.0,40.4,32,59.6,5,3
281,Tommy Robredo,Jurgen Zopp,281,1,0,68,35,32,9,65,37,35,12,0.625,0.625,0.3018867924528302,0.3018867924528302,0.375,0.375,0.1568627450980392,0.17307692307692307,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.21052631578947367,0.046153846153846156,-2,0.046153846153846156,0.0,-2.0,9.0,32.0,0.0,12.0,40.5,9,59.5,-2,3
282,Jurgen Melzer,Igor Sijsling,282,1,1,64,41,36,18,72,37,28,6,0.5416666666666666,0.5416666666666666,0.3584905660377358,0.3584905660377358,0.4583333333333333,0.4583333333333333,0.3333333333333333,0.34615384615384615,0.7741935483870968,0.7741935483870968,0.22580645161290322,0.22580645161290322,0.10526315789473684,-0.1111111111111111,4,-0.1111111111111111,1.0,4.0,18.0,36.0,1.0,6.0,40.5,18,59.5,4,-8
283,Rogerio Dutra Silva,Ernests Gulbis,283,1,1,53,36,47,23,65,31,35,13,0.3125,0.3125,0.3113207547169811,0.3113207547169811,0.6875,0.6875,0.43137254901960786,0.4423076923076923,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.22807017543859648,-0.18461538461538463,5,-0.18461538461538463,1.0,5.0,23.0,47.0,1.0,13.0,44.5,23,55.5,5,-12
284,Gael Monfils,Tomas Berdych,284,1,0,66,91,34,33,72,104,28,27,0.5833333333333334,0.5833333333333334,0.8301886792452831,0.8301886792452831,0.4166666666666667,0.4166666666666667,0.6274509803921569,0.6346153846153846,0.7741935483870968,0.7741935483870968,0.22580645161290322,0.22580645161290322,0.47368421052631576,-0.08333333333333333,-13,-0.08333333333333333,0.0,-13.0,33.0,34.0,0.0,27.0,34.0,33,66.0,-13,-6
285,Richard Gasquet,Sergiy Stakhovsky,285,1,0,55,22,45,17,67,36,33,16,0.3541666666666667,0.3541666666666667,0.1792452830188679,0.1792452830188679,0.6458333333333334,0.6458333333333334,0.3137254901960784,0.3269230769230769,0.7204301075268817,0.7204301075268817,0.27956989247311825,0.27956989247311825,0.2807017543859649,-0.1791044776119403,-14,-0.1791044776119403,0.0,-14.0,17.0,45.0,0.0,16.0,46.0,17,54.0,-14,-12
286,Rhyne Williams,Michal Przysiezny,286,1,1,67,75,33,27,67,66,33,21,0.6041666666666666,0.6041666666666666,0.6792452830188679,0.6792452830188679,0.3958333333333333,0.3958333333333333,0.5098039215686274,0.5192307692307693,0.7204301075268817,0.7204301075268817,0.27956989247311825,0.27956989247311825,0.3684210526315789,0.0,9,0.0,1.0,9.0,27.0,33.0,1.0,21.0,32.0,27,68.0,9,0
287,Nikolay Davydenko,Florent Serra,287,1,0,64,35,36,13,67,50,33,16,0.5416666666666666,0.5416666666666666,0.3018867924528302,0.3018867924528302,0.4583333333333333,0.4583333333333333,0.23529411764705882,0.25,0.7204301075268817,0.7204301075268817,0.27956989247311825,0.27956989247311825,0.2807017543859649,-0.04477611940298507,-15,-0.04477611940298507,0.0,-15.0,13.0,36.0,0.0,16.0,36.0,13,64.0,-15,-3
288,Denis Istomin,Florian Mayer,288,1,0,59,40,41,15,69,44,31,13,0.4375,0.4375,0.3490566037735849,0.3490566037735849,0.5625,0.5625,0.27450980392156865,0.28846153846153844,0.7419354838709677,0.7419354838709677,0.25806451612903225,0.25806451612903225,0.22807017543859648,-0.14492753623188406,-4,-0.14492753623188406,0.0,-4.0,15.0,41.0,0.0,13.0,39.333333333333336,15,60.666666666666664,-4,-10
289,Jerzy Janowicz,Albert Ramos,289,1,0,61,41,39,25,63,49,37,26,0.4791666666666667,0.4791666666666667,0.3584905660377358,0.3584905660377358,0.5208333333333334,0.5208333333333334,0.47058823529411764,0.4807692307692308,0.6774193548387096,0.6774193548387096,0.3225806451612903,0.3225806451612903,0.45614035087719296,-0.031746031746031744,-8,-0.031746031746031744,0.0,-8.0,25.0,39.0,0.0,26.0,41.0,25,59.0,-8,-2
290,Robin Haase,Kenny De Schepper,290,1,0,64,61,36,21,65,59,35,25,0.5416666666666666,0.5416666666666666,0.5471698113207547,0.5471698113207547,0.4583333333333333,0.4583333333333333,0.39215686274509803,0.40384615384615385,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.43859649122807015,-0.015384615384615385,2,-0.015384615384615385,0.0,2.0,21.0,36.0,0.0,25.0,38.5,21,61.5,2,-1
291,Horacio Zeballos,Vasek Pospisil,291,1,0,56,67,44,34,68,71,32,18,0.375,0.375,0.6037735849056604,0.6037735849056604,0.625,0.625,0.6470588235294118,0.6538461538461539,0.7311827956989247,0.7311827956989247,0.26881720430107525,0.26881720430107525,0.3157894736842105,-0.17647058823529413,-4,-0.17647058823529413,0.0,-4.0,34.0,44.0,0.0,18.0,44.0,34,56.0,-4,-12
292,Thiemo De Bakker,Stanislas Wawrinka,292,1,1,69,74,31,24,69,70,31,25,0.6458333333333334,0.6458333333333334,0.6698113207547169,0.6698113207547169,0.3541666666666667,0.3541666666666667,0.45098039215686275,0.46153846153846156,0.7419354838709677,0.7419354838709677,0.25806451612903225,0.25806451612903225,0.43859649122807015,0.0,4,0.0,1.0,4.0,24.0,31.0,1.0,25.0,41.166666666666664,24,58.833333333333336,4,0
293,Kei Nishikori,Jesse Levine,293,1,0,52,16,48,9,51,27,49,19,0.2916666666666667,0.2916666666666667,0.12264150943396226,0.12264150943396226,0.7083333333333334,0.7083333333333334,0.1568627450980392,0.17307692307692307,0.5483870967741935,0.5483870967741935,0.45161290322580644,0.45161290322580644,0.3333333333333333,0.0196078431372549,-11,0.0196078431372549,0.0,-11.0,9.0,48.0,0.0,19.0,48.0,9,52.0,-11,1
294,Santiago Giraldo,Grega Zemlja,294,1,1,52,32,48,21,64,30,36,12,0.2916666666666667,0.2916666666666667,0.27358490566037735,0.27358490566037735,0.7083333333333334,0.7083333333333334,0.39215686274509803,0.40384615384615385,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.21052631578947367,-0.1875,2,-0.1875,1.0,2.0,21.0,48.0,1.0,12.0,48.0,21,52.0,2,-12
295,Maxime Teixeira,Lukasz Kubot,295,1,1,64,30,36,12,64,37,36,12,0.5416666666666666,0.5416666666666666,0.25471698113207547,0.25471698113207547,0.4583333333333333,0.4583333333333333,0.21568627450980393,0.23076923076923078,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.21052631578947367,0.0,-7,0.0,1.0,-7.0,12.0,36.0,1.0,12.0,49.0,12,51.0,-7,0
296,Marcos Baghdatis,Benoit Paire,296,1,1,46,40,54,29,53,34,47,25,0.16666666666666666,0.16666666666666666,0.3490566037735849,0.3490566037735849,0.8333333333333334,0.8333333333333334,0.5490196078431373,0.5576923076923077,0.5698924731182796,0.5698924731182796,0.43010752688172044,0.43010752688172044,0.43859649122807015,-0.1320754716981132,6,-0.1320754716981132,1.0,6.0,29.0,54.0,1.0,25.0,48.666666666666664,29,51.333333333333336,6,-7
297,Fabio Fognini,Andreas Beck,297,1,0,55,37,45,25,64,50,36,27,0.3541666666666667,0.3541666666666667,0.32075471698113206,0.32075471698113206,0.6458333333333334,0.6458333333333334,0.47058823529411764,0.4807692307692308,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.47368421052631576,-0.140625,-13,-0.140625,0.0,-13.0,25.0,45.0,0.0,27.0,45.0,25,55.0,-13,-9
298,Lukas Rosol,Pere Riba,298,1,0,60,38,40,14,62,41,38,23,0.4583333333333333,0.4583333333333333,0.330188679245283,0.330188679245283,0.5416666666666666,0.5416666666666666,0.2549019607843137,0.2692307692307692,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.40350877192982454,-0.03225806451612903,-3,-0.03225806451612903,0.0,-3.0,14.0,40.0,0.0,23.0,40.0,14,60.0,-3,-2
299,Michael Russell,Martin Klizan,299,1,1,49,29,51,22,69,35,31,9,0.22916666666666666,0.22916666666666666,0.24528301886792453,0.24528301886792453,0.7708333333333334,0.7708333333333334,0.4117647058823529,0.4230769230769231,0.7419354838709677,0.7419354838709677,0.25806451612903225,0.25806451612903225,0.15789473684210525,-0.2898550724637681,-6,-0.2898550724637681,1.0,-6.0,22.0,51.0,1.0,9.0,48.5,22,51.5,-6,-20
300,Daniel Brands,Rafael Nadal,300,1,1,84,74,16,12,74,66,26,22,0.9583333333333334,0.9583333333333334,0.6698113207547169,0.6698113207547169,0.041666666666666664,0.041666666666666664,0.21568627450980393,0.23076923076923078,0.7956989247311828,0.7956989247311828,0.20430107526881722,0.20430107526881722,0.38596491228070173,0.13513513513513514,8,0.13513513513513514,1.0,8.0,12.0,16.0,1.0,22.0,27.0,12,73.0,8,10
301,Marc Gicquel,Fernando Verdasco,301,1,1,64,37,36,11,53,23,47,13,0.5416666666666666,0.5416666666666666,0.32075471698113206,0.32075471698113206,0.4583333333333333,0.4583333333333333,0.19607843137254902,0.21153846153846154,0.5698924731182796,0.5698924731182796,0.43010752688172044,0.43010752688172044,0.22807017543859648,0.20754716981132076,14,0.20754716981132076,1.0,14.0,11.0,36.0,1.0,13.0,38.666666666666664,11,61.333333333333336,14,11
302,Julian Reister,Federico Delbonis,302,1,1,55,52,45,27,72,47,28,15,0.3541666666666667,0.3541666666666667,0.46226415094339623,0.46226415094339623,0.6458333333333334,0.6458333333333334,0.5098039215686274,0.5192307692307693,0.7741935483870968,0.7741935483870968,0.22580645161290322,0.22580645161290322,0.2631578947368421,-0.2361111111111111,5,-0.2361111111111111,1.0,5.0,27.0,45.0,1.0,15.0,45.0,27,55.0,5,-17
303,Pablo Andujar,Mikhail Youzhny,303,1,1,65,70,35,20,56,49,44,27,0.5625,0.5625,0.6320754716981132,0.6320754716981132,0.4375,0.4375,0.37254901960784315,0.38461538461538464,0.6021505376344086,0.6021505376344086,0.3978494623655914,0.3978494623655914,0.47368421052631576,0.16071428571428573,21,0.16071428571428573,1.0,21.0,20.0,35.0,1.0,27.0,35.666666666666664,20,64.33333333333333,21,9
304,John Isner,Carlos Berlocq,304,1,0,73,45,27,10,63,45,37,16,0.7291666666666666,0.7291666666666666,0.39622641509433965,0.39622641509433965,0.2708333333333333,0.2708333333333333,0.17647058823529413,0.19230769230769232,0.6774193548387096,0.6774193548387096,0.3225806451612903,0.3225806451612903,0.2807017543859649,0.15873015873015872,0,0.15873015873015872,0.0,0.0,10.0,27.0,0.0,16.0,35.0,10,65.0,0,10
305,Ryan Harrison,Andrey Kuznetsov,305,1,0,71,48,29,11,56,46,44,26,0.6875,0.6875,0.42452830188679247,0.42452830188679247,0.3125,0.3125,0.19607843137254902,0.21153846153846154,0.6021505376344086,0.6021505376344086,0.3978494623655914,0.3978494623655914,0.45614035087719296,0.26785714285714285,2,0.26785714285714285,0.0,2.0,11.0,29.0,0.0,26.0,38.0,11,62.0,2,15
306,Guillermo Garcia-Lopez,Jack Sock,306,1,1,56,32,44,23,63,30,37,11,0.375,0.375,0.27358490566037735,0.27358490566037735,0.625,0.625,0.43137254901960786,0.4423076923076923,0.6774193548387096,0.6774193548387096,0.3225806451612903,0.3225806451612903,0.19298245614035087,-0.1111111111111111,2,-0.1111111111111111,1.0,2.0,23.0,44.0,1.0,11.0,49.0,23,51.0,2,-7
307,Guillaume Rufin,Tommy Haas,307,1,1,65,48,35,13,61,32,39,21,0.5625,0.5625,0.42452830188679247,0.42452830188679247,0.4375,0.4375,0.23529411764705882,0.25,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.3684210526315789,0.06557377049180328,16,0.06557377049180328,1.0,16.0,13.0,35.0,1.0,21.0,41.5,13,58.5,16,4
308,Philipp Kohlschreiber,Jiri Vesely,308,1,0,61,59,39,25,62,61,38,21,0.4791666666666667,0.4791666666666667,0.5283018867924528,0.5283018867924528,0.5208333333333334,0.5208333333333334,0.47058823529411764,0.4807692307692308,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3684210526315789,-0.016129032258064516,-2,-0.016129032258064516,0.0,-2.0,25.0,39.0,0.0,21.0,42.0,25,58.0,-2,-1
309,Yen-Hsun Lu,Simone Bolelli,309,1,0,63,33,37,12,77,32,23,9,0.5208333333333334,0.5208333333333334,0.2830188679245283,0.2830188679245283,0.4791666666666667,0.4791666666666667,0.21568627450980393,0.23076923076923078,0.8279569892473119,0.8279569892473119,0.17204301075268819,0.17204301075268819,0.15789473684210525,-0.18181818181818182,1,-0.18181818181818182,0.0,1.0,12.0,37.0,0.0,9.0,37.0,12,63.0,1,-14
310,Victor Hanescu,Bernard Tomic,310,1,0,63,38,37,17,71,51,29,19,0.5208333333333334,0.5208333333333334,0.330188679245283,0.330188679245283,0.4791666666666667,0.4791666666666667,0.3137254901960784,0.3269230769230769,0.7634408602150538,0.7634408602150538,0.23655913978494625,0.23655913978494625,0.3333333333333333,-0.11267605633802817,-13,-0.11267605633802817,0.0,-13.0,17.0,37.0,0.0,19.0,37.5,17,62.5,-13,-8
311,Dmitry Tursunov,Alexandr Dolgopolov,311,1,0,55,51,45,22,51,47,49,28,0.3541666666666667,0.3541666666666667,0.4528301886792453,0.4528301886792453,0.6458333333333334,0.6458333333333334,0.4117647058823529,0.4230769230769231,0.5483870967741935,0.5483870967741935,0.45161290322580644,0.45161290322580644,0.49122807017543857,0.0784313725490196,4,0.0784313725490196,0.0,4.0,22.0,45.0,0.0,28.0,46.0,22,54.0,4,4
312,Grigor Dimitrov,Alejandro Falla,312,1,0,54,10,46,7,59,20,41,10,0.3333333333333333,0.3333333333333333,0.0660377358490566,0.0660377358490566,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.1346153846153846,0.6344086021505376,0.6344086021505376,0.3655913978494624,0.3655913978494624,0.17543859649122806,-0.0847457627118644,-10,-0.0847457627118644,0.0,-10.0,7.0,46.0,0.0,10.0,43.0,7,57.0,-10,-5
313,Lucas Pouille,Alex Kuznetsov,313,1,0,63,33,37,13,48,36,52,33,0.5208333333333334,0.5208333333333334,0.2830188679245283,0.2830188679245283,0.4791666666666667,0.4791666666666667,0.23529411764705882,0.25,0.5161290322580645,0.5161290322580645,0.4838709677419355,0.4838709677419355,0.5789473684210527,0.3125,-3,0.3125,0.0,-3.0,13.0,37.0,0.0,33.0,37.0,13,63.0,-3,15
314,Guido Pella,Ivan Dodig,314,1,0,56,80,44,37,61,71,39,35,0.375,0.375,0.7264150943396226,0.7264150943396226,0.625,0.625,0.7058823529411765,0.7115384615384616,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.6140350877192983,-0.08196721311475409,9,-0.08196721311475409,0.0,9.0,37.0,44.0,0.0,35.0,42.0,37,58.0,9,-5
315,David Goffin,Novak Djokovic,315,1,1,69,53,31,20,61,46,39,25,0.6458333333333334,0.6458333333333334,0.4716981132075472,0.4716981132075472,0.3541666666666667,0.3541666666666667,0.37254901960784315,0.38461538461538464,0.6559139784946236,0.6559139784946236,0.34408602150537637,0.34408602150537637,0.43859649122807015,0.13114754098360656,7,0.13114754098360656,1.0,7.0,20.0,31.0,1.0,25.0,31.142857142857142,20,68.85714285714286,7,8
316,Roger Federer,Somdev Devvarman,316,2,0,61,19,39,16,62,30,38,18,0.4791666666666667,0.4791666666666667,0.1509433962264151,0.1509433962264151,0.5208333333333334,0.5208333333333334,0.29411764705882354,0.3076923076923077,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3157894736842105,-0.016129032258064516,-11,-0.016129032258064516,0.0,-11.0,16.0,39.0,0.0,18.0,39.0,16,61.0,-11,-1
317,Tobias Kamke,Julien Benneteau,317,2,1,72,83,28,23,65,75,35,37,0.7083333333333334,0.7083333333333334,0.7547169811320755,0.7547169811320755,0.2916666666666667,0.2916666666666667,0.43137254901960786,0.4423076923076923,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.6491228070175439,0.1076923076923077,8,0.1076923076923077,1.0,8.0,23.0,28.0,1.0,37.0,28.0,23,72.0,8,7
318,Sam Querrey,Jan Hajek,318,2,0,66,36,34,16,62,45,38,14,0.5833333333333334,0.5833333333333334,0.3113207547169811,0.3113207547169811,0.4166666666666667,0.4166666666666667,0.29411764705882354,0.3076923076923077,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.24561403508771928,0.06451612903225806,-9,0.06451612903225806,0.0,-9.0,16.0,34.0,0.0,14.0,34.0,16,66.0,-9,4
319,Pablo Cuevas,Gilles Simon,319,2,1,57,41,43,26,56,37,44,19,0.3958333333333333,0.3958333333333333,0.3584905660377358,0.3584905660377358,0.6041666666666666,0.6041666666666666,0.49019607843137253,0.5,0.6021505376344086,0.6021505376344086,0.3978494623655914,0.3978494623655914,0.3333333333333333,0.017857142857142856,4,0.017857142857142856,1.0,4.0,26.0,43.0,1.0,19.0,43.0,26,57.0,4,1
