,Player2,Player1,Unnamed: 0,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Unary_SSP.1,Unary_SSW.1,Unary_SSP.2,FSP_diff,FSW_diff,SSW_diff,FSP_ratio,Total_serve_percentage_1,Total_won_serves_1,Total_serve_percentage_2,GROUPBY_['Round']_mean_FSP_diff,"GROUPBY_['Player1', 'Player2']_mean_FSP_diff","GROUPBY_['Player1', 'Player2']_mean_SSW_diff",GROUPBY_['Round']_mean_Total_won_serves_1,"GROUPBY_['Player1', 'Player2']_max_Round","GROUPBY_['Player1', 'Player2']_max_FSP.1","GROUPBY_['Player1', 'Player2']_count_Round","GROUPBY_['Player1', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP_ratio",Player1_has_high_FSW
192,Tsvetana Pironkova,Samantha Stosur,192,2,1,59,20,41,10,57,15,43,4,0.5625,0.19230769230769232,0.3870967741935484,2,5,6,1.0350877192982457,2.4390243902439024,30,100,-0.4467005076142132,2.0,6.0,54.19796954314721,2,59,1,41.0,1.0,41.0,1.0350877192982457,1
193,Ana Ivanovic,Annika Beck,193,2,0,75,13,25,3,54,16,46,13,0.22916666666666666,0.057692307692307696,0.41935483870967744,21,-3,-10,1.3888888888888888,4.0,16,100,-0.4467005076142132,21.0,-10.0,54.19796954314721,2,75,1,29.5,0.0,25.0,1.3888888888888888,0
194,Madison Keys,Jie Zheng,194,2,1,76,40,24,14,63,39,37,18,0.20833333333333334,0.2692307692307692,0.3225806451612903,13,1,-4,1.2063492063492063,4.166666666666667,54,100,-0.4467005076142132,13.0,-4.0,54.19796954314721,2,76,1,24.0,1.0,24.0,1.2063492063492063,1
195,Kirsten Flipkens,Casey Dellacqua,195,2,1,73,22,27,6,48,15,52,10,0.2708333333333333,0.11538461538461539,0.4838709677419355,25,7,-4,1.5208333333333333,3.7037037037037037,28,100,-0.4467005076142132,25.0,-4.0,54.19796954314721,2,73,1,27.0,1.0,27.0,1.5208333333333333,1
196,Virginie Razzano,Eugenie Bouchard,196,2,1,50,26,50,17,75,32,25,6,0.75,0.3269230769230769,0.1935483870967742,-25,-6,11,0.6666666666666666,2.0,43,100,-0.4467005076142132,-25.0,11.0,54.19796954314721,2,50,1,46.5,1.0,50.0,0.6666666666666666,0
197,Julia Goerges,Lauren Davis,197,2,1,69,51,31,15,71,45,29,11,0.3541666666666667,0.28846153846153844,0.23655913978494625,-2,6,4,0.971830985915493,3.225806451612903,66,100,-0.4467005076142132,-2.0,4.0,54.19796954314721,2,69,1,31.0,1.0,31.0,0.971830985915493,1
198,Belinda Bencic,Na Li,198,2,1,60,27,40,12,54,21,46,8,0.5416666666666666,0.23076923076923078,0.41935483870967744,6,6,4,1.1111111111111112,2.5,39,100,-0.4467005076142132,6.0,4.0,54.19796954314721,2,60,1,38.5,1.0,40.0,1.1111111111111112,1
199,Lucie Safarova,Lucie Hradecka,199,2,0,44,33,56,26,62,47,38,20,0.875,0.5,0.3333333333333333,-18,-14,6,0.7096774193548387,1.7857142857142858,59,100,-0.4467005076142132,-18.0,6.0,54.19796954314721,2,44,1,56.0,0.0,56.0,0.7096774193548387,0
200,Irina Falconi,Ekaterina Makarova,200,2,1,56,26,44,14,74,22,26,10,0.625,0.2692307692307692,0.20430107526881722,-18,4,4,0.7567567567567568,2.272727272727273,40,100,-0.4467005076142132,-18.0,4.0,54.19796954314721,2,56,1,44.0,1.0,44.0,0.7567567567567568,1
201,Sabine Lisicki,Monica Niculescu,201,2,1,66,35,34,9,53,23,47,14,0.4166666666666667,0.17307692307692307,0.43010752688172044,13,12,-5,1.2452830188679245,2.9411764705882355,44,100,-0.4467005076142132,13.0,-5.0,54.19796954314721,2,66,1,34.0,1.0,34.0,1.2452830188679245,1
202,Alla Kudryavtseva,Angelique Kerber,202,2,1,59,24,41,11,63,25,37,8,0.5625,0.21153846153846154,0.3225806451612903,-4,-1,3,0.9365079365079365,2.4390243902439024,35,100,-0.4467005076142132,-4.0,3.0,54.19796954314721,2,59,1,41.0,1.0,41.0,0.9365079365079365,0
203,Alison Riske,Yanina Wickmayer,203,2,0,63,13,37,6,78,27,22,6,0.4791666666666667,0.11538461538461539,0.16129032258064516,-15,-14,0,0.8076923076923077,2.7027027027027026,19,100,-0.4467005076142132,-15.0,0.0,54.19796954314721,2,63,1,37.0,0.0,37.0,0.8076923076923077,0
204,Monica Puig,Flavia Pennetta,204,2,1,45,22,55,18,45,21,55,16,0.8541666666666666,0.34615384615384615,0.5161290322580645,0,1,2,1.0,1.8181818181818181,40,100,-0.4467005076142132,0.0,2.0,54.19796954314721,2,45,1,55.0,1.0,55.0,1.0,1
205,Luksika Kumkhum,Mona Barthel,205,2,1,63,44,37,18,58,38,42,13,0.4791666666666667,0.34615384615384615,0.3763440860215054,5,6,5,1.0862068965517242,2.7027027027027026,62,100,-0.4467005076142132,5.0,5.0,54.19796954314721,2,63,1,37.0,1.0,37.0,1.0862068965517242,1
206,Ayumi Morita,Jelena Jankovic,206,2,1,59,19,41,7,57,8,43,5,0.5625,0.1346153846153846,0.3870967741935484,2,11,2,1.0350877192982457,2.4390243902439024,26,100,-0.4467005076142132,2.0,2.0,54.19796954314721,2,59,1,40.5,1.0,41.0,1.0350877192982457,1
207,Magdalena Rybarikova,Kurumi Nara,207,2,1,66,26,34,15,52,16,48,8,0.4166666666666667,0.28846153846153844,0.44086021505376344,14,10,7,1.2692307692307692,2.9411764705882355,41,100,-0.4467005076142132,14.0,7.0,54.19796954314721,2,66,1,34.0,1.0,34.0,1.2692307692307692,1
208,Zarina Diyas,Marina Erakovic,208,2,0,50,15,50,8,70,27,30,10,0.75,0.15384615384615385,0.24731182795698925,-20,-12,-2,0.7142857142857143,2.0,23,100,-0.4467005076142132,-20.0,-2.0,54.19796954314721,2,50,1,50.0,0.0,50.0,0.7142857142857143,0
209,Simona Halep,Varvara Lepchenko,209,2,0,63,34,37,10,58,29,42,16,0.4791666666666667,0.19230769230769232,0.3763440860215054,5,5,-6,1.0862068965517242,2.7027027027027026,44,100,-0.4467005076142132,5.0,-6.0,54.19796954314721,2,63,1,38.0,0.0,37.0,1.0862068965517242,1
210,Galina Voskoboeva,Carla Suarez Navarro,210,2,1,73,57,27,17,55,40,45,23,0.2708333333333333,0.3269230769230769,0.40860215053763443,18,17,-6,1.3272727272727274,3.7037037037037037,74,100,-0.4467005076142132,18.0,-6.0,54.19796954314721,2,73,1,27.0,1.0,27.0,1.3272727272727274,1
211,Dominika Cibulkova,Stefanie Voegele,211,2,0,42,11,58,1,68,21,32,8,0.9166666666666666,0.019230769230769232,0.26881720430107525,-26,-10,-7,0.6176470588235294,1.7241379310344827,12,100,-0.4467005076142132,-26.0,-7.0,54.19796954314721,2,42,1,58.0,0.0,58.0,0.6176470588235294,0
212,Camila Giorgi,Alize Cornet,212,2,1,59,39,41,17,56,31,44,20,0.5625,0.3269230769230769,0.3978494623655914,3,8,-3,1.0535714285714286,2.4390243902439024,56,100,-0.4467005076142132,3.0,-3.0,54.19796954314721,2,59,1,33.5,1.0,41.0,1.0535714285714286,1
213,Maria Sharapova,Karin Knapp,213,2,1,53,40,47,23,60,44,40,23,0.6875,0.4423076923076923,0.3548387096774194,-7,-4,0,0.8833333333333333,2.127659574468085,63,100,-0.4467005076142132,-7.0,0.0,54.19796954314721,2,53,1,47.0,1.0,47.0,0.8833333333333333,0
214,Olga Govortsova,Agnieszka Radwanska,214,2,1,66,28,34,8,70,20,30,6,0.4166666666666667,0.15384615384615385,0.24731182795698925,-4,8,2,0.9428571428571428,2.9411764705882355,36,100,-0.4467005076142132,-4.0,2.0,54.19796954314721,2,66,1,34.5,1.0,34.0,0.9428571428571428,1
215,Anastasia Pavlyuchenkova,Mandy Minella,215,2,0,55,21,45,11,67,24,33,8,0.6458333333333334,0.21153846153846154,0.27956989247311825,-12,-3,3,0.8208955223880597,2.2222222222222223,32,100,-0.4467005076142132,-12.0,3.0,54.19796954314721,2,55,1,45.0,0.0,45.0,0.8208955223880597,0
216,Anna Schmiedlova,Garbine Muguruza,216,2,1,56,23,44,11,59,15,41,7,0.625,0.21153846153846154,0.3655913978494624,-3,8,4,0.9491525423728814,2.272727272727273,34,100,-0.4467005076142132,-3.0,4.0,54.19796954314721,2,56,1,44.0,1.0,44.0,0.9491525423728814,1
217,Caroline Wozniacki,Christina McHale,217,2,0,53,22,47,12,74,30,26,8,0.6875,0.23076923076923078,0.20430107526881722,-21,-8,4,0.7162162162162162,2.127659574468085,34,100,-0.4467005076142132,-21.0,4.0,54.19796954314721,2,53,1,47.0,0.0,47.0,0.7162162162162162,0
218,Ajla Tomljanovic,Sloane Stephens,218,2,1,71,39,29,14,54,35,46,22,0.3125,0.2692307692307692,0.41935483870967744,17,4,-8,1.3148148148148149,3.4482758620689653,53,100,-0.4467005076142132,17.0,-8.0,54.19796954314721,2,71,1,29.0,1.0,29.0,1.3148148148148149,1
219,Elina Svitolina,Olivia Rogowska,219,2,0,61,26,39,14,53,26,47,15,0.5208333333333334,0.2692307692307692,0.43010752688172044,8,0,-1,1.150943396226415,2.5641025641025643,40,100,-0.4467005076142132,8.0,-1.0,54.19796954314721,2,61,1,39.0,0.0,39.0,1.150943396226415,0
220,Yvonne Meusburger,Bojana Jovanovski,220,2,0,69,30,31,14,67,38,33,5,0.3541666666666667,0.2692307692307692,0.27956989247311825,2,-8,9,1.0298507462686568,3.225806451612903,44,100,-0.4467005076142132,2.0,9.0,54.19796954314721,2,69,1,31.0,0.0,31.0,1.0298507462686568,0
221,Victoria Azarenka,Barbora Zahlavova Strycova,221,2,0,55,13,45,9,85,34,15,6,0.6458333333333334,0.17307692307692307,0.08602150537634409,-30,-21,3,0.6470588235294118,2.2222222222222223,22,100,-0.4467005076142132,-30.0,3.0,54.19796954314721,2,55,1,45.0,0.0,45.0,0.6470588235294118,0
222,Daniela Hantuchova,Serena Williams,222,3,1,48,20,52,15,54,15,46,12,0.7916666666666666,0.28846153846153844,0.41935483870967744,-6,5,3,0.8888888888888888,1.9230769230769231,35,100,0.037383177570093455,-6.0,3.0,50.467289719626166,3,48,1,42.5,1.0,52.0,0.8888888888888888,1
223,Ana Ivanovic,Samantha Stosur,223,3,0,68,42,32,22,58,47,42,23,0.375,0.4230769230769231,0.3763440860215054,10,-5,-1,1.1724137931034482,3.125,64,100,0.037383177570093455,10.0,-1.0,50.467289719626166,3,68,1,32.0,0.0,32.0,1.1724137931034482,0
224,Casey Dellacqua,Jie Zheng,224,3,0,64,18,36,11,58,20,42,14,0.4583333333333333,0.21153846153846154,0.3763440860215054,6,-2,-3,1.103448275862069,2.7777777777777777,29,100,0.037383177570093455,6.0,-3.0,50.467289719626166,3,64,1,27.5,0.0,36.0,1.103448275862069,0
225,Lauren Davis,Eugenie Bouchard,225,3,1,61,23,39,10,77,24,23,3,0.5208333333333334,0.19230769230769232,0.17204301075268819,-16,-1,7,0.7922077922077922,2.5641025641025643,33,100,0.037383177570093455,-16.0,7.0,50.467289719626166,3,61,1,39.0,1.0,39.0,0.7922077922077922,0
226,Lucie Safarova,Na Li,226,3,1,60,43,40,18,59,33,41,17,0.5416666666666666,0.34615384615384615,0.3655913978494624,1,10,1,1.0169491525423728,2.5,61,100,0.037383177570093455,1.0,1.0,50.467289719626166,3,60,1,40.0,1.0,40.0,1.0169491525423728,1
227,Monica Niculescu,Ekaterina Makarova,227,3,1,56,17,44,13,70,23,30,8,0.625,0.25,0.24731182795698925,-14,-6,5,0.8,2.272727272727273,30,100,0.037383177570093455,-14.0,5.0,50.467289719626166,3,56,1,44.0,1.0,44.0,0.8,0
228,Alison Riske,Angelique Kerber,228,3,1,63,21,37,6,62,16,38,8,0.4791666666666667,0.11538461538461539,0.3333333333333333,1,5,-2,1.0161290322580645,2.7027027027027026,27,100,0.037383177570093455,1.0,-2.0,50.467289719626166,3,63,1,37.0,1.0,37.0,1.0161290322580645,1
229,Mona Barthel,Flavia Pennetta,229,3,1,44,17,56,15,60,22,40,13,0.875,0.28846153846153844,0.3548387096774194,-16,-5,2,0.7333333333333333,1.7857142857142858,32,100,0.037383177570093455,-16.0,2.0,50.467289719626166,3,44,1,56.0,1.0,56.0,0.7333333333333333,0
230,Kurumi Nara,Jelena Jankovic,230,3,1,62,23,38,13,86,25,14,5,0.5,0.25,0.07526881720430108,-24,-2,8,0.7209302325581395,2.6315789473684212,36,100,0.037383177570093455,-24.0,8.0,50.467289719626166,3,62,1,32.5,1.0,38.0,0.7209302325581395,0
231,Simona Halep,Zarina Diyas,231,3,0,61,16,39,7,52,18,48,13,0.5208333333333334,0.1346153846153846,0.44086021505376344,9,-2,-6,1.1730769230769231,2.5641025641025643,23,100,0.037383177570093455,9.0,-6.0,50.467289719626166,3,61,1,39.0,0.0,39.0,1.1730769230769231,0
232,Dominika Cibulkova,Carla Suarez Navarro,232,3,0,65,12,35,4,69,21,31,8,0.4375,0.07692307692307693,0.25806451612903225,-4,-9,-4,0.9420289855072463,2.857142857142857,16,100,0.037383177570093455,-4.0,-4.0,50.467289719626166,3,65,1,35.0,0.0,35.0,0.9420289855072463,0
233,Maria Sharapova,Alize Cornet,233,3,0,65,24,35,9,50,23,50,16,0.4375,0.17307692307692307,0.46236559139784944,15,1,-7,1.3,2.857142857142857,33,100,0.037383177570093455,15.0,-7.0,50.467289719626166,3,65,1,35.0,0.0,35.0,1.3,1
234,Anastasia Pavlyuchenkova,Agnieszka Radwanska,234,3,1,65,36,35,16,59,29,41,17,0.4375,0.3076923076923077,0.3655913978494624,6,7,-1,1.1016949152542372,2.857142857142857,52,100,0.037383177570093455,6.0,-1.0,50.467289719626166,3,65,1,37.0,1.0,35.0,1.1016949152542372,1
235,Caroline Wozniacki,Garbine Muguruza,235,3,1,64,37,36,16,67,39,33,12,0.4583333333333333,0.3076923076923077,0.27956989247311825,-3,-2,4,0.9552238805970149,2.7777777777777777,53,100,0.037383177570093455,-3.0,4.0,50.467289719626166,3,64,1,36.0,1.0,36.0,0.9552238805970149,0
236,Elina Svitolina,Sloane Stephens,236,3,1,69,31,31,10,57,23,43,15,0.3541666666666667,0.19230769230769232,0.3870967741935484,12,8,-5,1.2105263157894737,3.225806451612903,41,100,0.037383177570093455,12.0,-5.0,50.467289719626166,3,69,1,31.0,1.0,31.0,1.2105263157894737,1
237,Victoria Azarenka,Yvonne Meusburger,237,3,0,70,8,30,4,74,20,26,5,0.3333333333333333,0.07692307692307693,0.20430107526881722,-4,-12,-1,0.9459459459459459,3.3333333333333335,12,100,0.037383177570093455,-4.0,-1.0,50.467289719626166,3,70,1,30.0,0.0,30.0,0.9459459459459459,0
238,Ana Ivanovic,Serena Williams,238,4,0,66,43,34,13,53,31,47,21,0.4166666666666667,0.25,0.43010752688172044,13,12,-8,1.2452830188679245,2.9411764705882355,56,100,0.38181818181818183,13.0,-8.0,55.54545454545455,4,66,1,36.0,0.0,34.0,1.2452830188679245,1
239,Eugenie Bouchard,Casey Dellacqua,239,4,0,61,33,39,14,65,37,35,16,0.5208333333333334,0.2692307692307692,0.3010752688172043,-4,-4,-2,0.9384615384615385,2.5641025641025643,47,100,0.38181818181818183,-4.0,-2.0,55.54545454545455,4,61,1,39.0,0.0,39.0,0.9384615384615385,0
240,Ekaterina Makarova,Na Li,240,4,1,80,26,20,4,64,14,36,3,0.125,0.07692307692307693,0.3118279569892473,16,12,1,1.25,5.0,30,100,0.38181818181818183,16.0,1.0,55.54545454545455,4,80,1,20.0,1.0,20.0,1.25,1
241,Flavia Pennetta,Angelique Kerber,241,4,0,64,35,36,10,60,33,40,12,0.4583333333333333,0.19230769230769232,0.3548387096774194,4,2,-2,1.0666666666666667,2.7777777777777777,45,100,0.38181818181818183,4.0,-2.0,55.54545454545455,4,64,1,36.0,0.0,36.0,1.0666666666666667,1
242,Simona Halep,Jelena Jankovic,242,4,0,67,32,33,11,64,26,36,14,0.3958333333333333,0.21153846153846154,0.3118279569892473,3,6,-3,1.046875,3.0303030303030303,43,100,0.38181818181818183,3.0,-3.0,55.54545454545455,4,67,1,33.0,0.0,33.0,1.046875,1
243,Maria Sharapova,Dominika Cibulkova,243,4,1,69,27,31,13,66,31,34,12,0.3541666666666667,0.25,0.2903225806451613,3,-4,1,1.0454545454545454,3.225806451612903,40,100,0.38181818181818183,3.0,1.0,55.54545454545455,4,69,1,31.0,1.0,31.0,1.0454545454545454,0
244,Garbine Muguruza,Agnieszka Radwanska,244,4,1,73,34,27,11,56,18,44,10,0.2708333333333333,0.21153846153846154,0.3978494623655914,17,16,1,1.3035714285714286,3.7037037037037037,45,100,0.38181818181818183,17.0,1.0,55.54545454545455,4,73,1,35.0,1.0,27.0,1.3035714285714286,1
245,Victoria Azarenka,Sloane Stephens,245,4,0,72,24,28,9,69,32,31,10,0.2916666666666667,0.17307692307692307,0.25806451612903225,3,-8,-1,1.0434782608695652,3.5714285714285716,33,100,0.38181818181818183,3.0,-1.0,55.54545454545455,4,72,1,31.5,0.0,28.0,1.0434782608695652,0
246,Eugenie Bouchard,Ana Ivanovic,246,5,0,56,34,44,23,58,42,42,20,0.625,0.4423076923076923,0.3763440860215054,-2,-8,3,0.9655172413793104,2.272727272727273,57,100,-1.2222222222222223,-2.0,3.0,54.333333333333336,5,56,1,44.0,0.0,44.0,0.9655172413793104,0
247,Flavia Pennetta,Na Li,247,5,1,64,23,36,10,39,12,61,13,0.4583333333333333,0.19230769230769232,0.5806451612903226,25,11,-3,1.641025641025641,2.7777777777777777,33,100,-1.2222222222222223,25.0,-3.0,54.333333333333336,5,64,1,36.0,1.0,36.0,1.641025641025641,1
248,Dominika Cibulkova,Simona Halep,248,5,0,67,13,33,6,77,25,23,5,0.3958333333333333,0.11538461538461539,0.17204301075268819,-10,-12,1,0.8701298701298701,3.0303030303030303,19,100,-1.2222222222222223,-10.0,1.0,54.333333333333336,5,67,1,33.0,0.0,33.0,0.8701298701298701,0
249,Victoria Azarenka,Agnieszka Radwanska,249,5,1,59,33,41,16,60,26,40,19,0.5625,0.3076923076923077,0.3548387096774194,-1,7,-3,0.9833333333333333,2.4390243902439024,49,100,-1.2222222222222223,-1.0,-3.0,54.333333333333336,5,59,1,35.5,1.0,41.0,0.9833333333333333,1
250,Na Li,Eugenie Bouchard,250,6,0,45,13,55,5,61,27,39,11,0.8541666666666666,0.09615384615384616,0.34408602150537637,-16,-14,-6,0.7377049180327869,1.8181818181818181,18,100,-3.2857142857142856,-16.0,-6.0,57.357142857142854,6,45,1,55.0,0.0,55.0,0.7377049180327869,0
251,Agnieszka Radwanska,Dominika Cibulkova,251,6,1,64,22,36,10,68,17,32,2,0.4583333333333333,0.19230769230769232,0.26881720430107525,-4,5,8,0.9411764705882353,2.7777777777777777,32,100,-3.2857142857142856,-4.0,8.0,57.357142857142854,6,64,1,36.0,1.0,36.0,0.9411764705882353,1
252,Dominika Cibulkova,Na Li,252,7,1,60,21,40,15,67,29,33,5,0.5416666666666666,0.28846153846153844,0.27956989247311825,-7,-8,10,0.8955223880597015,2.5,36,100,5.285714285714286,-7.0,10.0,47.857142857142854,7,60,1,40.0,1.0,40.0,0.8955223880597015,0
253,Roger Federer,Pablo Carreno-Busta,253,1,0,62,27,38,11,68,33,32,14,0.5,0.21153846153846154,0.26881720430107525,-6,-6,-3,0.9117647058823529,2.6315789473684212,38,100,0.5652985074626866,-6.0,-3.0,57.115671641791046,1,62,1,38.0,0.0,38.0,0.9117647058823529,0
254,Daniel Munoz-De La Nava,Somdev Devvarman,254,1,1,62,54,38,22,52,35,48,24,0.5,0.4230769230769231,0.44086021505376344,10,19,-2,1.1923076923076923,2.6315789473684212,76,100,0.5652985074626866,10.0,-2.0,57.115671641791046,1,62,1,43.0,1.0,38.0,1.1923076923076923,1
255,Paolo Lorenzi,Tobias Kamke,255,1,1,62,53,38,15,46,42,54,31,0.5,0.28846153846153844,0.5053763440860215,16,11,-16,1.3478260869565217,2.6315789473684212,68,100,0.5652985074626866,16.0,-16.0,57.115671641791046,1,62,1,47.5,1.0,38.0,1.3478260869565217,1
256,Ricardas Berankis,Julien Benneteau,256,1,1,72,87,28,19,53,58,47,38,0.2916666666666667,0.36538461538461536,0.43010752688172044,19,29,-19,1.3584905660377358,3.5714285714285716,106,100,0.5652985074626866,19.0,-19.0,57.115671641791046,1,72,1,39.25,1.0,28.0,1.3584905660377358,1
257,Sam Querrey,Lukas Lacko,257,1,0,52,31,48,22,58,39,42,19,0.7083333333333334,0.4230769230769231,0.3763440860215054,-6,-8,3,0.896551724137931,2.0833333333333335,53,100,0.5652985074626866,-6.0,3.0,57.115671641791046,1,52,1,45.666666666666664,0.0,48.0,0.896551724137931,0
258,Denis Kudla,Jan Hajek,258,1,1,70,58,30,18,68,48,32,17,0.3333333333333333,0.34615384615384615,0.26881720430107525,2,10,1,1.0294117647058822,3.3333333333333335,76,100,0.5652985074626866,2.0,1.0,57.115671641791046,1,70,1,28.5,1.0,30.0,1.0294117647058822,1
259,Pablo Cuevas,Adrian Mannarino,259,1,0,63,71,37,38,59,67,41,27,0.4791666666666667,0.7307692307692307,0.3655913978494624,4,4,11,1.0677966101694916,2.7027027027027026,109,100,0.5652985074626866,4.0,11.0,57.115671641791046,1,63,1,41.0,0.0,37.0,1.0677966101694916,1
260,Lleyton Hewitt,Gilles Simon,260,1,1,59,42,41,25,49,40,51,29,0.5625,0.4807692307692308,0.4731182795698925,10,2,-4,1.2040816326530612,2.4390243902439024,67,100,0.5652985074626866,10.0,-4.0,57.115671641791046,1,59,1,41.0,1.0,41.0,1.2040816326530612,1
261,Marin Cilic,Philipp Petzschner,261,1,0,56,27,44,13,50,26,50,20,0.625,0.25,0.46236559139784944,6,1,-7,1.12,2.272727272727273,40,100,0.5652985074626866,6.0,-7.0,57.115671641791046,1,56,1,44.0,0.0,44.0,1.12,1
262,Nick Kyrgios,Radek Stepanek,262,1,0,63,62,37,29,56,64,44,35,0.4791666666666667,0.5576923076923077,0.3978494623655914,7,-2,-6,1.125,2.7027027027027026,91,100,0.5652985074626866,7.0,-6.0,57.115671641791046,1,63,1,43.0,0.0,37.0,1.125,0
263,James Blake,Viktor Troicki,263,1,1,48,29,52,20,47,22,53,15,0.7916666666666666,0.38461538461538464,0.4946236559139785,1,7,5,1.0212765957446808,1.9230769230769231,49,100,0.5652985074626866,1.0,5.0,57.115671641791046,1,48,1,52.0,1.0,52.0,1.0212765957446808,1
264,Daniel Gimeno-Traver,Juan Monaco,264,1,0,78,85,22,22,52,67,48,47,0.16666666666666666,0.4230769230769231,0.44086021505376344,26,18,-25,1.5,4.545454545454546,107,100,0.5652985074626866,26.0,-25.0,57.115671641791046,1,78,1,23.0,0.0,22.0,1.5,1
265,Jeremy Chardy,Benjamin Becker,265,1,0,66,48,34,13,66,44,34,17,0.4166666666666667,0.25,0.2903225806451613,0,4,-4,1.0,2.9411764705882355,61,100,0.5652985074626866,0.0,-4.0,57.115671641791046,1,66,1,41.0,0.0,34.0,1.0,1
266,Gilles Muller,Roberto Bautista Agut,266,1,1,83,51,17,6,55,36,45,18,0.0625,0.11538461538461539,0.40860215053763443,28,15,-12,1.509090909090909,5.882352941176471,57,100,0.5652985074626866,28.0,-12.0,57.115671641791046,1,83,1,24.5,1.0,17.0,1.509090909090909,1
267,Paul-Henri Mathieu,Jarkko Nieminen,267,1,1,69,84,31,29,54,58,46,36,0.3541666666666667,0.5576923076923077,0.41935483870967744,15,26,-7,1.2777777777777777,3.225806451612903,113,100,0.5652985074626866,15.0,-7.0,57.115671641791046,1,69,1,33.5,1.0,31.0,1.2777777777777777,1
268,Aljaz Bedene,Jo-Wilfried Tsonga,268,1,1,50,32,50,23,62,26,38,12,0.75,0.4423076923076923,0.3333333333333333,-12,6,11,0.8064516129032258,2.0,55,100,0.5652985074626866,-12.0,11.0,57.115671641791046,1,50,1,44.0,1.0,50.0,0.8064516129032258,1
269,David Ferrer,Marinko Matosevic,269,1,0,59,29,41,10,55,33,45,18,0.5625,0.19230769230769232,0.40860215053763443,4,-4,-8,1.0727272727272728,2.4390243902439024,39,100,0.5652985074626866,4.0,-8.0,57.115671641791046,1,59,1,40.0,0.0,41.0,1.0727272727272728,0
270,Albert Montanes,Steve Johnson,270,1,0,55,53,45,32,65,59,35,21,0.6458333333333334,0.6153846153846154,0.3010752688172043,-10,-6,11,0.8461538461538461,2.2222222222222223,85,100,0.5652985074626866,-10.0,11.0,57.115671641791046,1,55,1,46.0,0.0,45.0,0.8461538461538461,0
271,Go Soeda,Joao Sousa,271,1,1,70,40,30,14,58,24,42,10,0.3333333333333333,0.2692307692307692,0.3763440860215054,12,16,4,1.206896551724138,3.3333333333333335,54,100,0.5652985074626866,12.0,4.0,57.115671641791046,1,70,1,36.0,1.0,30.0,1.206896551724138,1
272,Feliciano Lopez,Marcel Granollers,272,1,0,70,55,30,18,58,52,42,33,0.3333333333333333,0.34615384615384615,0.3763440860215054,12,3,-15,1.206896551724138,3.3333333333333335,73,100,0.5652985074626866,12.0,-15.0,57.115671641791046,1,70,1,34.0,0.0,30.0,1.206896551724138,1
273,Kevin Anderson,Illya Marchenko,273,1,0,60,39,40,25,64,50,36,15,0.5416666666666666,0.4807692307692308,0.3118279569892473,-4,-11,10,0.9375,2.5,64,100,0.5652985074626866,-4.0,10.0,57.115671641791046,1,60,1,40.0,0.0,40.0,0.9375,0
274,Evgeny Donskoy,Jan-Lennard Struff,274,1,0,48,47,52,32,59,59,41,25,0.7916666666666666,0.6153846153846154,0.3655913978494624,-11,-12,7,0.8135593220338984,1.9230769230769231,79,100,0.5652985074626866,-11.0,7.0,57.115671641791046,1,48,1,48.5,0.0,52.0,0.8135593220338984,0
275,Michael Llodra,Steve Darcis,275,1,0,71,49,29,23,58,56,42,16,0.3125,0.4423076923076923,0.3763440860215054,13,-7,7,1.2241379310344827,3.4482758620689653,72,100,0.5652985074626866,13.0,7.0,57.115671641791046,1,71,1,29.0,0.0,29.0,1.2241379310344827,0
276,Xavier Malisse,Milos Raonic,276,1,1,73,55,27,14,64,42,36,18,0.2708333333333333,0.2692307692307692,0.3118279569892473,9,13,-4,1.140625,3.7037037037037037,69,100,0.5652985074626866,9.0,-4.0,57.115671641791046,1,73,1,31.5,1.0,27.0,1.140625,1
277,Nicolas Almagro,Andreas Haider-Maurer,277,1,0,65,50,35,20,53,50,47,28,0.4375,0.38461538461538464,0.43010752688172044,12,0,-8,1.2264150943396226,2.857142857142857,70,100,0.5652985074626866,12.0,-8.0,57.115671641791046,1,65,1,37.5,0.0,35.0,1.2264150943396226,0
278,Edouard Roger-Vasselin,Martin Alund,278,1,0,57,31,43,17,63,45,37,22,0.6041666666666666,0.3269230769230769,0.3225806451612903,-6,-14,-5,0.9047619047619048,2.3255813953488373,48,100,0.5652985074626866,-6.0,-5.0,57.115671641791046,1,57,1,43.0,0.0,43.0,0.9047619047619048,0
279,James Duckworth,Blaz Kavcic,279,1,1,63,33,37,17,46,19,54,11,0.4791666666666667,0.3269230769230769,0.5053763440860215,17,14,6,1.3695652173913044,2.7027027027027026,50,100,0.5652985074626866,17.0,6.0,57.115671641791046,1,63,1,37.0,1.0,37.0,1.3695652173913044,1
280,Leonardo Mayer,Andreas Seppi,280,1,1,67,73,33,32,64,68,36,28,0.3958333333333333,0.6153846153846154,0.3118279569892473,3,5,4,1.046875,3.0303030303030303,105,100,0.5652985074626866,3.0,4.0,57.115671641791046,1,67,1,40.4,1.0,33.0,1.046875,1
