,Player1,Player2,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2
337,Benoit Paire,Lukasz Kubot,2,1,57,34,43,20,75,46,25,8
338,Lukas Rosol,Fabio Fognini,2,0,57,51,43,21,74,60,26,17
339,Rafael Nadal,Martin Klizan,2,1,74,55,26,10,56,30,44,25
340,Fernando Verdasco,Janko Tipsarevic,2,0,58,77,42,40,64,82,36,38
341,Mikhail Youzhny,Federico Delbonis,2,1,69,70,31,24,57,55,43,30
342,Ryan Harrison,John Isner,2,0,64,88,36,32,65,81,35,37
343,Tommy Haas,Jack Sock,2,1,74,62,26,15,54,39,46,22
344,Dmitry Tursunov,Victor Hanescu,2,0,59,31,41,9,67,33,33,9
345,Lucas Pouille,Grigor Dimitrov,2,0,60,31,40,14,49,37,51,29
346,Novak Djokovic,Guido Pella,2,1,72,38,28,10,57,26,43,12
347,Julien Benneteau,Roger Federer,3,0,82,41,18,8,65,42,35,22
348,Gilles Simon,Sam Querrey,3,1,60,52,40,32,58,60,42,21
349,Viktor Troicki,Marin Cilic,3,1,65,61,35,20,59,43,41,27
350,Jo-Wilfried Tsonga,Jeremy Chardy,3,1,67,40,33,17,65,35,35,10
351,Feliciano Lopez,David Ferrer,3,0,63,37,37,14,66,41,34,17
352,Milos Raonic,Kevin Anderson,3,0,57,49,43,29,69,54,31,19
353,Andreas Seppi,Nicolas Almagro,3,0,51,34,49,18,69,50,31,12
354,Gael Monfils,Tommy Robredo,3,0,68,73,32,27,70,74,30,30
355,Nikolay Davydenko,Richard Gasquet,3,0,76,46,24,9,68,40,32,19
356,Stanislas Wawrinka,Jerzy Janowicz,3,1,58,54,42,31,61,58,39,23
357,Benoit Paire,Kei Nishikori,3,0,43,40,57,36,63,53,37,23
358,Rafael Nadal,Fabio Fognini,3,1,78,52,22,14,67,47,33,26
359,Mikhail Youzhny,Janko Tipsarevic,3,1,64,40,36,21,49,28,51,25
360,Tommy Haas,John Isner,3,0,63,99,37,52,78,132,22,24
361,Victor Hanescu,Philipp Kohlschreiber,3,0,73,31,27,8,59,43,41,20
362,Novak Djokovic,Grigor Dimitrov,3,1,68,39,32,13,69,33,31,9
363,Gilles Simon,Roger Federer,4,0,61,65,39,28,64,56,36,23
364,Jo-Wilfried Tsonga,Viktor Troicki,4,1,77,45,23,15,62,34,38,15
365,Kevin Anderson,David Ferrer,4,0,71,34,29,7,52,28,48,24
366,Tommy Robredo,Nicolas Almagro,4,1,63,73,37,31,63,71,37,31
367,Stanislas Wawrinka,Richard Gasquet,4,1,63,81,37,41,60,87,40,38
368,Rafael Nadal,Kei Nishikori,4,1,69,39,31,16,65,27,35,15
369,Tommy Haas,Mikhail Youzhny,4,1,61,31,39,14,63,16,37,12
370,Novak Djokovic,Philipp Kohlschreiber,4,1,74,71,26,23,55,48,45,28
371,Jo-Wilfried Tsonga,Roger Federer,5,1,75,46,25,10,67,39,33,14
372,Tommy Robredo,David Ferrer,5,0,59,22,41,9,47,25,53,22
373,Rafael Nadal,Stanislas Wawrinka,5,1,75,40,25,11,60,30,40,12
374,Novak Djokovic,Tommy Haas,5,1,64,41,36,22,60,48,40,21
375,David Ferrer,Jo-Wilfried Tsonga,6,1,60,35,40,23,58,37,42,17
376,Novak Djokovic,Rafael Nadal,6,0,67,76,33,30,64,73,36,35
377,Rafael Nadal,David Ferrer,7,1,70,43,30,11,62,31,38,8
378,Su-Wei Hsieh,Maria Sharapova,1,0,62,18,38,5,68,25,32,8
379,Eugenie Bouchard,Tsvetana Pironkova,1,1,57,23,43,17,66,28,34,6
380,Jie Zheng,Vesna Dolonc,1,1,76,30,24,5,76,35,24,6
381,Tamira Paszek,Melanie Oudin,1,0,59,16,41,8,63,27,37,9
382,Karin Knapp,Sloane Stephens,1,0,57,18,43,13,65,22,35,10
383,Vania King,Alexandra Cadantu,1,1,74,27,26,11,72,28,28,9
384,Marina Erakovic,Elena Baltacha,1,1,66,23,34,8,69,11,31,6
385,Dominika Cibulkova,Lesia Tsurenko,1,1,60,24,40,11,55,12,45,7
386,Kimiko Date-Krumm,Samantha Stosur,1,0,79,15,21,3,59,19,41,12
387,Kristina Mladenovic,Lauren Davis,1,1,58,27,42,13,72,22,28,5
388,Karolina Pliskova,Garbine Muguruza,1,0,60,41,40,20,69,49,31,13
389,Jelena Jankovic,Daniela Hantuchova,1,1,78,40,22,7,68,38,32,17
390,Jamie Hampton,Lucie Safarova,1,1,60,50,40,24,67,53,33,19
391,Anna Karolina Schmiedlova,Yanina Wickmayer,1,1,62,40,38,16,59,39,41,22
392,Shuai Peng,Camila Giorgi,1,1,54,28,46,14,53,24,47,8
393,Petra Kvitova,Aravane Rezai,1,1,69,35,31,13,56,27,44,12
394,Elena Vesnina,Victoria Azarenka,1,0,74,21,26,6,70,31,30,6
395,Sandra Zahlavova,Annika Beck,1,0,69,18,31,7,83,28,17,5
396,Irina-Camelia Begu,Silvia Soler-Espinosa,1,0,74,26,26,6,56,23,44,15
397,Alize Cornet,Maria Joao Koehler,1,1,70,28,30,11,60,19,40,8
398,Flavia Pennetta,Kirsten Flipkens,1,0,41,21,59,17,45,31,55,23
399,Melinda Czink,Francesca Schiavone,1,0,57,23,43,12,57,26,43,14
400,Kristyna Pliskova,Mariana Duque-Marino,1,0,60,18,40,9,65,23,35,9
401,Marion Bartoli,Olga Govortsova,1,1,62,54,38,25,62,42,38,16
402,Nina Bratchikova,Maria Kirilenko,1,0,69,15,31,4,51,19,49,12
403,Ashleigh Barty,Lucie Hradecka,1,1,53,32,47,23,57,31,43,18
404,Stefanie Voegele,Heather Watson,1,1,64,41,36,16,67,44,33,17
405,Klara Zakopalova,Kaia Kanepi,1,0,58,22,42,11,70,32,30,8
406,Coco Vandeweghe,Yaroslava Shvedova,1,0,53,24,47,12,64,30,36,14
407,Tatjana Maria,Paula Ormaechea,1,0,60,30,40,18,49,25,51,21
408,Bethanie Mattek-Sands,Lourdes Dominguez Lino,1,1,54,24,46,14,47,12,53,14
409,Na Li,A. Medina Garrigues,1,1,71,31,29,7,57,18,43,7
410,Arantxa Rus,Sara Errani,1,0,52,11,48,2,85,18,15,3
411,Ayumi Morita,Yulia Putintseva,1,0,65,17,35,9,58,22,42,16
412,Maria-Teresa Torro-Flor,Julia Glushko,1,1,77,32,23,7,78,22,22,5
413,Sabine Lisicki,Sofia Arvidsson,1,1,52,27,48,15,70,29,30,10
414,Simona Halep,Carla Suarez Navarro,1,0,74,34,26,9,63,31,37,17
415,Irena Pavlovic,Shelby Rogers,1,0,59,24,41,11,58,26,42,15
416,Madison Keys,Misaki Doi,1,1,66,29,34,8,62,16,38,9
417,Nadia Petrova,Monica Puig,1,0,58,37,42,16,52,40,48,21
418,Petra Martic,Ana Ivanovic,1,0,62,30,38,17,54,37,46,24
419,Chanelle Scheepers,Mathilde Johansson,1,0,54,16,46,13,68,29,32,9
420,Virginie Razzano,Claire Feuerstein,1,1,75,46,25,9,55,29,45,19
421,Julia Goerges,Zuzana Kucova,1,0,54,22,46,14,76,41,24,13
422,Urszula Radwanska,Venus Williams,1,1,68,48,32,16,65,38,35,13
423,Dinah Pfizenmaier,Mandy Minella,1,1,67,28,33,5,57,17,43,8
424,Mallory Burdette,Donna Vekic,1,1,68,27,32,11,63,21,37,7
425,Agnieszka Radwanska,Shahar Peer,1,1,67,17,33,9,56,15,44,7
426,Mona Barthel,Angelique Kerber,1,0,57,30,43,16,54,31,46,20
427,Jana Cepelova,Christina McHale,1,1,78,52,22,9,70,52,30,10
428,Romina Oprandi,Elina Svitolina,1,0,67,35,33,7,61,30,39,19
429,Varvara Lepchenko,Mirjana Lucic-Baroni,1,1,65,23,35,8,56,15,44,8
430,Svetlana Kuznetsova,Ekaterina Makarova,1,1,54,15,46,15,70,25,30,11
431,Pauline Parmentier,Magdalena Rybarikova,1,0,54,12,46,6,73,19,27,6
432,Barbora Zahlavova Strycova,Bojana Jovanovski,1,0,71,23,29,6,80,31,20,5
433,Caroline Wozniacki,Laura Robson,1,1,76,27,24,8,56,18,44,5
434,Stephanie Foretz Gacon,Roberta Vinci,1,0,66,16,34,5,60,20,40,12
435,Galina Voskoboeva,Grace Min,1,1,55,30,45,18,69,34,31,17
436,Petra Cetkovska,Olga Puchkova,1,1,69,25,31,8,62,11,38,3
437,Anastasia Pavlyuchenkova,Andrea Hlavackova,1,1,54,31,46,22,72,46,28,11
438,Kiki Bertens,Sorana Cirstea,1,0,63,42,37,12,65,40,35,21
439,Monica Niculescu,Johanna Larsson,1,0,82,15,18,4,64,22,36,8
440,Yuliya Beygelzimer,Caroline Garcia,1,0,59,24,41,13,60,29,40,13
441,Serena Williams,Anna Tatishvili,1,1,73,21,27,7,58,11,42,6
442,Eugenie Bouchard,Maria Sharapova,2,0,57,17,43,10,52,19,48,11
443,Melanie Oudin,Jie Zheng,2,0,65,12,35,7,73,26,27,7
444,Vania King,Sloane Stephens,2,0,82,17,18,6,75,26,25,5
445,Dominika Cibulkova,Marina Erakovic,2,0,56,31,44,16,48,25,52,21
446,Kristina Mladenovic,Samantha Stosur,2,0,55,27,45,16,75,40,25,6
447,Jelena Jankovic,Garbine Muguruza,2,1,60,16,40,11,54,13,46,8
448,Anna Karolina Schmiedlova,Jamie Hampton,2,0,70,28,30,7,57,22,43,15
449,Petra Kvitova,Shuai Peng,2,1,53,20,47,13,73,22,27,5
450,Annika Beck,Victoria Azarenka,2,0,66,22,34,7,63,24,37,7
451,Alize Cornet,Silvia Soler-Espinosa,2,1,74,24,26,10,53,13,47,10
452,Francesca Schiavone,Kirsten Flipkens,2,1,62,34,38,20,53,33,47,13
453,Marion Bartoli,Mariana Duque-Marino,2,1,62,34,38,14,57,32,43,14
454,Ashleigh Barty,Maria Kirilenko,2,0,61,6,39,4,75,9,25,1
455,Kaia Kanepi,Stefanie Voegele,2,1,71,20,29,5,58,13,42,9
456,Paula Ormaechea,Yaroslava Shvedova,2,1,64,27,36,14,74,26,26,7
457,Na Li,Bethanie Mattek-Sands,2,0,63,34,37,17,54,35,46,18
458,Yulia Putintseva,Sara Errani,2,0,64,11,36,5,87,28,13,3
459,Sabine Lisicki,Maria-Teresa Torro-Flor,2,1,68,26,32,8,74,17,26,5
460,Shelby Rogers,Carla Suarez Navarro,2,0,67,38,33,14,63,41,37,14
461,Monica Puig,Madison Keys,2,1,52,26,48,21,61,31,39,11
462,Mathilde Johansson,Ana Ivanovic,2,0,73,17,27,4,55,20,45,10
463,Zuzana Kucova,Virginie Razzano,2,0,72,36,28,10,72,42,28,14
464,Dinah Pfizenmaier,Urszula Radwanska,2,1,60,24,40,15,67,20,33,9
465,Agnieszka Radwanska,Mallory Burdette,2,1,65,23,35,11,73,17,27,5
466,Jana Cepelova,Angelique Kerber,2,0,70,12,30,3,62,24,38,11
467,Varvara Lepchenko,Elina Svitolina,2,1,61,23,39,12,65,22,35,10
468,Magdalena Rybarikova,Svetlana Kuznetsova,2,0,66,32,34,11,79,36,21,7
469,Caroline Wozniacki,Bojana Jovanovski,2,0,70,29,30,10,68,34,32,8
470,Galina Voskoboeva,Roberta Vinci,2,0,60,36,40,11,56,35,44,18
471,Anastasia Pavlyuchenkova,Petra Cetkovska,2,0,50,33,50,22,54,29,46,20
472,Johanna Larsson,Sorana Cirstea,2,0,63,12,37,9,54,27,46,14
473,Serena Williams,Caroline Garcia,2,1,69,23,31,9,53,16,47,9
474,Jie Zheng,Maria Sharapova,3,0,81,23,19,3,57,22,43,13
475,Marina Erakovic,Sloane Stephens,3,0,64,37,36,15,78,58,22,11
476,Jelena Jankovic,Samantha Stosur,3,1,73,39,27,13,70,35,30,16
477,Petra Kvitova,Jamie Hampton,3,0,63,24,37,10,51,24,49,12
478,Alize Cornet,Victoria Azarenka,3,0,65,28,35,10,69,40,31,11
479,Marion Bartoli,Francesca Schiavone,3,0,62,14,38,8,53,17,47,15
480,Stefanie Voegele,Maria Kirilenko,3,0,52,30,48,19,57,27,43,20
481,Bethanie Mattek-Sands,Paula Ormaechea,3,1,71,34,29,12,55,32,45,8
482,Sabine Lisicki,Sara Errani,3,0,46,15,54,7,89,34,11,2
483,Monica Puig,Carla Suarez Navarro,3,0,59,24,41,12,72,39,28,8
484,Virginie Razzano,Ana Ivanovic,3,0,70,18,30,7,73,32,27,8
485,Agnieszka Radwanska,Dinah Pfizenmaier,3,1,61,26,39,16,62,24,38,12
486,Varvara Lepchenko,Angelique Kerber,3,0,81,54,19,6,65,47,35,19
487,Bojana Jovanovski,Svetlana Kuznetsova,3,0,69,31,31,10,67,29,33,11
488,Petra Cetkovska,Roberta Vinci,3,0,63,26,37,11,62,32,38,18
489,Serena Williams,Sorana Cirstea,3,1,67,22,33,10,56,13,44,6
490,Sloane Stephens,Maria Sharapova,4,0,65,28,35,12,63,25,37,12
491,Jamie Hampton,Jelena Jankovic,4,0,66,11,34,7,70,22,30,8
492,Francesca Schiavone,Victoria Azarenka,4,0,57,11,43,3,88,28,12,3
493,Bethanie Mattek-Sands,Maria Kirilenko,4,0,56,29,44,18,64,31,36,14
494,Carla Suarez Navarro,Sara Errani,4,0,67,32,33,14,91,57,9,4
495,Agnieszka Radwanska,Ana Ivanovic,4,1,57,21,43,15,50,19,50,15
496,Svetlana Kuznetsova,Angelique Kerber,4,1,63,46,37,17,75,44,25,13
497,Serena Williams,Roberta Vinci,4,1,62,24,38,12,68,20,32,9
498,Jelena Jankovic,Maria Sharapova,5,0,63,31,37,16,66,30,34,13
499,Maria Kirilenko,Victoria Azarenka,5,0,57,31,43,8,78,32,22,4
500,Agnieszka Radwanska,Sara Errani,5,0,70,28,30,5,84,41,16,3
501,Serena Williams,Svetlana Kuznetsova,5,1,66,42,34,12,77,28,23,7
502,Victoria Azarenka,Maria Sharapova,6,0,72,28,28,8,62,41,38,10
503,Serena Williams,Sara Errani,6,1,52,14,48,14,80,10,20,1
504,Serena Williams,Maria Sharapova,7,1,69,27,31,8,55,20,45,20
505,Richard Gasquet,Michael Russell,1,1,63,45,37,16,59,37,41,17
506,Stephane Robert,Albano Olivetti,1,1,61,44,39,19,56,37,44,15
507,Jan-Lennard Struff,Guillaume Rufin,1,0,55,61,45,32,55,66,45,27
508,Aljaz Bedene,Dmitry Tursunov,1,0,52,41,48,19,55,52,45,27
509,Feliciano Lopez,Florent Serra,1,1,58,54,42,30,61,63,39,30
510,Kenny De Schepper,Bradley Klahn,1,0,59,68,41,37,71,72,29,26
511,Andrey Kuznetsov,Dudi Sela,1,0,53,59,47,44,59,65,41,38
512,Pablo Cuevas,Janko Tipsarevic,1,0,51,39,49,24,55,42,45,28
513,Ernests Gulbis,Andreas Haider-Maurer,1,0,58,68,42,31,49,58,51,43
514,Mikhail Kukushkin,Andrej Martin,1,1,51,35,49,27,49,35,51,20
515,Roberto Bautista Agut,Thomaz Bellucci,1,1,75,44,25,12,57,28,43,10
516,Nick Kyrgios,David Ferrer,1,0,69,44,31,9,55,40,45,21
517,Tommy Robredo,Marinko Matosevic,1,1,54,49,46,30,59,44,41,27
518,Robin Haase,Frank Dancevic,1,0,58,65,42,34,64,68,36,34
519,Albert Ramos,Bernard Tomic,1,0,55,76,45,42,68,71,32,28
520,Daniel Evans,Kei Nishikori,1,1,48,35,52,25,54,30,46,15
521,Fernando Verdasco,Ivan Dodig,1,0,59,58,41,23,57,60,43,34
522,Rhyne Williams,Nikolay Davydenko,1,0,55,56,45,26,57,57,43,28
523,Ryan Harrison,Rafael Nadal,1,0,62,41,38,10,72,42,28,11
524,Novak Djokovic,Ricardas Berankis,1,1,68,36,32,14,53,18,47,9
525,Benjamin Becker,Lukas Rosol,1,1,52,38,48,27,47,44,53,27
526,Lukasz Kubot,Jarkko Nieminen,1,0,38,28,62,27,59,38,41,19
527,Joao Sousa,Grigor Dimitrov,1,1,58,61,42,27,58,53,42,27
528,Tommy Haas,Paul-Henri Mathieu,1,1,59,38,41,15,56,29,44,16
529,Yen-Hsun Lu,Daniel Gimeno-Traver,1,1,67,49,33,19,56,45,44,22
530,Donald Young,Martin Klizan,1,1,74,39,26,10,47,10,53,10
531,Florian Mayer,Juan Monaco,1,1,65,34,35,15,63,20,37,11
532,Tobias Kamke,Steve Johnson,1,1,53,55,47,39,48,56,52,40
533,Denis Istomin,Nicolas Almagro,1,1,64,50,36,23,64,36,36,14
534,Julien Benneteau,Michal Przysiezny,1,1,61,49,39,25,58,52,42,27
535,Sergiy Stakhovsky,Jeremy Chardy,1,0,53,62,47,33,56,64,44,40
536,Jiri Vesely,Denis Kudla,1,0,55,50,45,30,63,56,37,27
537,Paolo Lorenzi,Tomas Berdych,1,0,48,27,52,11,56,34,44,12
538,Pablo Andujar,Thiemo de Bakker,1,1,60,44,40,19,52,33,48,19
539,Thomas Fabbiano,Milos Raonic,1,0,66,46,34,17,63,51,37,19
540,Jerzy Janowicz,Maximo Gonzalez,1,0,58,40,42,17,65,45,35,13
541,Jack Sock,Philipp Petzschner,1,1,51,36,49,29,46,29,54,27
542,Roger Federer,Grega Zemlja,1,1,60,41,40,21,49,29,51,18
543,Santiago Giraldo,Carlos Berlocq,1,0,58,63,42,30,64,61,36,30
544,Horacio Zeballos,Adrian Mannarino,1,0,52,44,48,29,57,47,43,30
545,Guido Pella,Sam Querrey,1,0,56,54,44,31,58,60,42,26
546,John Isner,Filippo Volandri,1,1,73,42,27,11,56,18,44,10
547,Adrian Ungur,Gael Monfils,1,0,56,18,44,8,84,33,16,4
548,Albert Montanes,Edouard Roger-Vasselin,1,0,51,29,49,20,64,38,36,18
549,Collin Altamirano,Philipp Kohlschreiber,1,0,58,27,42,8,58,31,42,16
550,Rogerio Dutra Silva,Vasek Pospisil,1,1,58,64,42,39,48,66,52,46
551,Benoit Paire,Alex Bogomolov Jr.,1,0,51,72,49,40,64,82,36,33
552,Tim Smyczek,James Duckworth,1,1,66,47,34,21,55,47,45,26
553,Jurgen Zopp,Marcel Granollers,1,0,51,46,49,27,52,43,48,27
554,Rajeev Ram,Fabio Fognini,1,1,73,40,27,10,54,21,46,13
555,David Goffin,Alexandr Dolgopolov,1,0,67,44,33,14,45,34,55,27
556,Nicolas Mahut,Mikhail Youzhny,1,0,63,50,37,22,64,50,36,20
557,Jurgen Melzer,Evgeny Donskoy,1,0,65,39,35,17,57,48,43,27
558,Igor Sijsling,Peter Gojowczyk,1,0,55,49,45,24,51,40,49,29
559,Lleyton Hewitt,Brian Baker,1,1,46,38,54,29,49,32,51,28
560,Guillermo Garcia-Lopez,Juan Martin Del Potro,1,0,48,57,52,45,62,62,38,31
561,Andy Murray,Michael Llodra,1,1,67,36,33,15,63,31,37,12
562,Victor Hanescu,Leonardo Mayer,1,0,67,72,33,29,57,60,43,37
563,Andreas Seppi,Xavier Malisse,1,1,59,62,41,24,46,41,54,36
564,Lukas Lacko,Somdev Devvarman,1,0,50,48,50,29,56,60,44,31
565,Stanislas Wawrinka,Radek Stepanek,1,1,51,32,49,27,66,37,34,16
566,James Blake,Ivo Karlovic,1,0,64,82,36,36,63,90,37,29
567,Marcos Baghdatis,Go Soeda,1,1,60,34,40,20,54,30,46,15
568,Daniel Brands,Kevin Anderson,1,0,59,58,41,20,53,50,47,35
569,Richard Gasquet,Stephane Robert,1,1,58,50,42,22,53,35,47,19
570,Guillaume Rufin,Dmitry Tursunov,1,0,43,14,57,12,58,24,42,13
571,Feliciano Lopez,Bradley Klahn,1,1,52,59,48,38,71,69,29,18
572,Pablo Andujar,Milos Raonic,1,0,64,32,36,17,63,44,37,12
573,Maximo Gonzalez,Jack Sock,1,0,68,51,32,17,62,54,38,25
574,Dudi Sela,Janko Tipsarevic,1,0,62,30,38,10,44,32,56,31
575,Andreas Haider-Maurer,Mikhail Kukushkin,1,0,60,45,40,17,57,42,43,29
576,Roberto Bautista Agut,David Ferrer,1,0,62,42,38,20,59,48,41,29
577,Roger Federer,Carlos Berlocq,1,1,52,27,48,22,84,36,16,2
578,Adrian Mannarino,Sam Querrey,1,1,55,68,45,41,58,77,42,34
579,Tommy Robredo,Frank Dancevic,1,1,64,39,36,12,65,34,35,10
580,Bernard Tomic,Daniel Evans,1,0,62,47,38,23,56,43,44,27
581,John Isner,Gael Monfils,1,1,70,71,30,21,83,74,17,11
582,Edouard Roger-Vasselin,Philipp Kohlschreiber,1,0,61,48,39,25,58,44,42,26
583,Ivan Dodig,Nikolay Davydenko,1,1,66,45,34,14,51,25,49,18
584,Rogerio Dutra Silva,Rafael Nadal,1,0,58,21,42,12,69,30,31,11
585,Novak Djokovic,Benjamin Becker,1,1,74,48,26,11,59,33,41,19
586,Jarkko Nieminen,Joao Sousa,1,0,64,65,36,25,63,66,37,23
587,Alex Bogomolov Jr.,Tim Smyczek,1,0,69,87,31,30,63,73,37,26
588,Marcel Granollers,Rajeev Ram,1,1,62,63,38,28,66,66,34,22
589,Tommy Haas,Yen-Hsun Lu,1,1,60,51,40,20,68,44,32,13
590,Alexandr Dolgopolov,Mikhail Youzhny,1,0,53,35,47,19,52,33,48,23
591,Evgeny Donskoy,Peter Gojowczyk,1,1,55,63,45,34,55,67,45,30
592,Lleyton Hewitt,Juan Martin Del Potro,1,1,50,56,50,38,57,57,43,39
593,Andy Murray,Leonardo Mayer,1,1,57,41,43,35,63,40,37,16
594,Donald Young,Florian Mayer,1,0,62,42,38,20,57,48,43,21
595,Andreas Seppi,Somdev Devvarman,1,1,52,48,48,27,56,41,44,24
596,Tobias Kamke,Denis Istomin,1,0,46,19,54,23,46,24,54,21
597,Stanislas Wawrinka,Ivo Karlovic,1,1,60,51,40,25,63,52,37,21
598,Marcos Baghdatis,Kevin Anderson,1,1,43,24,57,24,64,27,36,11
599,Julien Benneteau,Jeremy Chardy,1,1,58,39,42,18,57,29,43,13
600,Denis Kudla,Tomas Berdych,1,0,60,49,40,26,57,49,43,28
601,Richard Gasquet,Dmitry Tursunov,1,1,64,42,36,21,53,46,47,24
602,Feliciano Lopez,Milos Raonic,1,0,59,56,41,29,67,66,33,19
603,Jack Sock,Janko Tipsarevic,1,0,46,35,54,27,56,46,44,33
604,Mikhail Kukushkin,David Ferrer,1,0,51,50,49,27,60,47,40,20
605,Roger Federer,Adrian Mannarino,1,1,57,36,43,15,65,27,35,9
606,Tommy Robredo,Daniel Evans,1,1,60,58,40,25,62,65,38,23
607,John Isner,Philipp Kohlschreiber,1,0,74,72,26,14,73,73,27,20
608,Ivan Dodig,Rafael Nadal,1,0,52,28,48,18,65,41,35,20
609,Novak Djokovic,Joao Sousa,1,1,68,30,32,12,59,30,41,10
610,Tim Smyczek,Marcel Granollers,1,0,61,63,39,26,59,66,41,28
611,Tommy Haas,Mikhail Youzhny,1,0,50,37,50,22,57,43,43,21
612,Evgeny Donskoy,Lleyton Hewitt,1,0,58,55,42,17,52,49,48,37
613,Andy Murray,Florian Mayer,1,1,51,37,49,25,62,40,38,15
614,Andreas Seppi,Denis Istomin,1,0,61,55,39,23,65,65,35,23
615,Stanislas Wawrinka,Marcos Baghdatis,1,1,52,55,48,37,47,50,53,43
616,Julien Benneteau,Tomas Berdych,1,0,52,25,48,12,58,39,42,14
617,Richard Gasquet,Milos Raonic,1,1,59,81,41,45,56,83,44,46
618,Janko Tipsarevic,David Ferrer,1,0,59,68,41,34,65,68,35,23
619,Roger Federer,Tommy Robredo,1,0,60,38,40,16,70,61,30,17
620,Philipp Kohlschreiber,Rafael Nadal,1,0,63,58,37,26,66,54,34,26
621,Mikhail Youzhny,Lleyton Hewitt,1,1,59,55,41,29,52,48,48,37
622,Andy Murray,Denis Istomin,1,1,63,58,37,23,69,55,31,20
623,Stanislas Wawrinka,Tomas Berdych,1,1,58,55,42,27,58,51,42,19
624,Richard Gasquet,David Ferrer,1,1,59,57,41,31,63,53,37,29
625,Tommy Robredo,Rafael Nadal,1,0,52,20,48,9,61,31,39,14
626,Novak Djokovic,Mikhail Youzhny,1,1,68,49,32,19,56,29,44,23
627,Andy Murray,Stanislas Wawrinka,1,0,63,37,37,22,55,37,45,20
628,Novak Djokovic,Stanislas Wawrinka,1,1,67,64,33,25,50,68,50,48
629,Richard Gasquet,Rafael Nadal,1,0,64,41,36,15,71,51,29,16
630,Novak Djokovic,Rafael Nadal,1,0,68,40,32,16,64,51,36,24
631,S Williams,V Azarenka,7,1,57,44,43,20,57,31,43,23
632,F Pennetta,V Azarenka,6,0,44,12,56,7,56,21,44,10
633,S Williams,N Li,6,1,63,26,37,9,63,20,37,10
634,R Vinci,F Pennetta,5,0,60,21,40,7,63,23,37,8
635,D Hantuchova,V Azarenka,5,0,58,14,42,5,60,20,40,9
636,E Makarova,N Li,5,0,60,40,40,18,68,43,32,14
637,A Ivanovic,V Azarenka,4,0,55,26,45,18,73,40,27,7
638,A Riske,D Hantuchova,4,0,69,37,31,14,60,38,40,19
639,S Halep,F Pennetta,4,0,75,22,25,8,45,23,55,16
640,C Giorgi,R Vinci,4,0,54,18,46,11,54,19,46,15
641,S Williams,S Stephens,4,1,62,26,38,11,66,28,34,8
642,J Jankovic,N Li,4,0,66,8,34,3,58,17,42,8
643,C Suarez Navarro,A Kerber,4,1,78,54,22,9,68,47,32,12
644,A Ivanovic,C McHale,3,1,60,41,40,18,64,39,36,14
645,C Wozniack,C Giorgi,3,0,62,34,38,21,63,47,37,22
646,M Kirilenko,S Halep,3,0,54,9,46,5,81,23,19,3
647,A Cornet,V Azarenka,3,0,56,44,44,21,68,48,32,17
648,K Knapp,R Vinci,3,0,58,22,42,8,51,25,49,16
649,P Kvitova,A Riske,3,0,52,18,48,10,70,22,30,6
650,S Kuznetsova,F Pennetta,3,0,55,21,45,10,51,26,49,17
651,J Glushko,D Hantuchova,3,0,73,43,27,10,61,41,39,21
652,L Robson,N Li,3,0,52,16,48,16,65,29,35,10
653,J Hampton,S Stephens,3,0,55,14,45,6,70,25,30,8
654,S Williams,Y Shvedova,3,1,66,28,44,7,59,14,41,12
655,A.Radwanska,A Pavlyuchenkova,3,1,75,42,25,12,53,30,47,13
656,E Makarova,S Lisicki,3,1,61,36,39,15,56,28,44,12
657,J Zheng,C Suarez Navarro,3,0,75,27,25,6,79,30,21,5
658,J Jankovic,K Nara,3,1,52,31,48,12,81,30,19,5
659,K Kanepi,A Kerber,3,0,44,17,56,10,44,17,56,14
660,F Pennetta,S Errani,2,1,58,24,42,11,93,16,7,1
661,S Williams,G Voskoboeva,2,1,64,21,36,11,57,16,43,7
662,C Wozniacki,C Scheepers,2,1,76,22,34,6,55,12,45,5
663,E Bouchard,A Kerber,2,0,47,27,53,27,68,34,32,14
664,A Wozniak,V Azarenka,2,0,48,10,52,4,65,25,35,8
665,C McHale,E Svitolina,2,1,66,52,34,21,59,44,41,20
666,A Ivanovic,A Dulgheru,2,1,64,39,36,12,79,33,21,5
667,P Ormaechea,S Lisicki,2,0,41,9,59,15,42,24,58,15
668,A Cornet,A Tomljanovic,2,1,56,28,44,12,55,13,45,9
669,D Hantuchova,V Duval,2,1,46,14,54,18,74,21,26,6
670,K Nara,S Cirstea,2,1,80,25,20,8,58,19,42,6
671,A Riske,M Barthel,2,1,62,26,38,11,57,21,43,15
672,S Kuznetsova,S Peng,2,1,54,39,46,19,71,44,29,14
673,S Arvidsson,N Li,2,0,67,18,33,8,58,19,42,13
674,U Radwanska,S Stephens,2,0,67,10,33,7,67,20,33,8
675,V Williams,J Zheng,2,0,52,39,48,26,74,49,26,15
676,J Hampton,K Mladenovic,2,1,56,27,44,15,59,30,41,14
677,C Vandeweghe,C Suarez Navarro,2,0,47,14,53,10,82,27,18,7
678,L Robson,C Garcia,2,1,59,28,41,17,64,31,36,17
679,A Barty,A Pavlyuchenkova,2,0,52,13,48,10,55,21,45,11
680,P Kvitova,M Doi,1,1,73,47,27,11,58,21,42,17
681,C Wozniacki,Y Duan,1,1,69,28,31,12,65,24,35,8
